N,News Agency in English,News Agency in arabic,Main Category EN,Main Category AR,Sub Category En,Sub Category AR,Catergory en - internal only,Catergory ar - internal only,Category -EN,Category - AR,Platform -EN,Platform - AR,Media or Text - EN,Media or Text - AR,Hyper link,Urgency,rate from 1 - 5,status,Quality,Publish ?,license Owner,Manager,
497,Reach news,رييتش نيوز,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/Reach_news,Very High,3,active,high ,yes,	محمد مساعد ربح العنزي,	محمد مساعد ربح العنزي,
498,ALOMMAHAPP,جريدة الأمة,NewsAgency News,أخبار  الصحف ,Electronic News Agency,صحف الكترونية,Electronic News Agency,صحف الكترونية,local news,أخبار محلية,Twitter,تويتر,Text news,متنوع ,https://twitter.com/ALOMMAHAPP,High,4,active,high ,yes,	عبدالله فهد عبدالله العجمي,	عبدالله فهد عبدالله العجمي,
499,aldiwan alamiri,الديوان الاميري,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Independent Institutions,المؤسسات المستقلة,Official News,أخبار رسمية,Website,موقع الكتروني,Text news,أخبار,http://www.da.gov.kw/ara/newsroom/latestNews.php,Very High,5,active,high ,yes,,,
500,Social Developmenty Office,مكتب الإنماء الإجتماعي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,culture news,مجتمع وأنشطة,Website,موقع الكتروني,Text news,أخبار,http://www.sdo.gov.kw/NewsArchive.aspx,Very Low,3,active,medium ,yes,,,
501,Social Developmenty Office,مكتب الإنماء الإجتماعي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,culture news,مجتمع وأنشطة,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/socialdoffice,Low ,3,active,medium ,yes,,,
502,martyr office,مكتب الشهيد,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://martyr.com.kw/news/,Low ,3,active,medium ,yes,,,
503,martyr office,مكتب الشهيد,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Website,موقع الكتروني,Media news,أخبار ميديا,https://martyr.com.kw/videos/,Very Low,3,active,medium ,yes,,,
504,Diwan crown prince state of kuwait,ديوان سمو ولي العهد,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,Official News,أخبار رسمية,Website,موقع الكتروني,Text news,أخبار,https://cpd.gov.kw/Ar/NewsArchive.aspx,Very High,5,active,high ,yes,,,
505,Diwan crown prince state of kuwait,ديوان سمو ولي العهد,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,Official News,أخبار رسمية,Website,موقع الكتروني,Media news,أخبار ميديا,https://cpd.gov.kw/Ar/VediosGalary.aspx,Very High,5,active,high ,yes,,,
506,state audit bureau,ديوان المحاسبه,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار,https://www.sab.gov.kw/sabweb/Pages/News/ActiveNewsList.aspx,Very Low,1,active,low,yes,,,
507,state audit bureau,ديوان المحاسبه,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCb4_YxUkO5q5q-3qnxEujoQ/videos,Low ,2,active,low,yes,,,
508,state audit bureau,ديوان المحاسبه,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Twitter,تويتر,Text news,أخبار,https://twitter.com/sab_kuwait,Very High,5,active,high ,yes,,,
509,Official account of Council of Ministers ,مجلس الوزراء الكويتي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.cmgs.gov.kw/AllNews,Very Low,1,active,medium ,yes,,,
510,Official account of Council of Ministers ,مجلس الوزراء الكويتي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Twitter,تويتر,Text news,أخبار,https://twitter.com/KuwaitiCM,Very High,5,active,high ,yes,,,
511,Legal Advice and Legislation ,إدارة الفتوى والتشريع,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الوزارات,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار,https://www.fatwa.gov.kw/Home/NewsArchive,Very Low,1,active,low,yes,,,
512,Legal Advice and Legislation ,إدارة الفتوى والتشريع,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الوزارات,legal and security news,أخبار قانونية وأمنية,Twitter,موقع الكتروني,Text news,أخبار,https://twitter.com/Fatwa_kw,Very High,5,active,high ,yes,,,
513,minister office of the state for national assembly,مكتب وزير الدولة لشئون مجلس الأمة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.mona.gov.kw/index.aspx,Very High,5,active,high ,yes,,,
514,minister office of the state for national assembly,مكتب وزير الدولة لشئون مجلس الأمة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Twitter,تويتر,Text news,أخبار,https://twitter.com/Monagovkw,Very High,5,active,high ,yes,,,
515,central agency for public tenders,الجهاز المركزي للمناقصات العامة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,Tenders,مناقصات رسمية,Website,موقع الكتروني,Text news,أخبار,https://capt.gov.kw/ar/news/,Low ,2,active,high ,yes,,,
516,central agency for public tenders,الجهاز المركزي للمناقصات العامة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,Tenders,مناقصات رسمية,Website,موقع الكتروني,pdf,تحميل بي دي اف,https://capt.gov.kw/ar/kuwait-alyawm/,Very High,5,active,high ,yes,,,
517,central agency for public tenders,الجهاز المركزي للمناقصات العامة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Twitter,يوتيوب,Text news,أخبار,https://twitter.com/captkuwait,Low ,3,active,high ,yes,,,
518,government performance follow up,جهاز متابعة الأداء الحكومي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.gpf.gov.kw/Ar/newsarchive.aspx,Low ,2,active,high ,yes,,,
519,government performance follow up,جهاز متابعة الأداء الحكومي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Twitter,تويتر,Text news,أخبار,https://twitter.com/GPFKW,Very High,5,active,medium ,yes,,,
520,government performance follow up,جهاز متابعة الأداء الحكومي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار,https://www.youtube.com/user/gpfkw/videos,Low ,3,active,medium ,yes,,,
521,central agency for information technology,الجهاز المركزي لتكنلوجيا المعلومات,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,technology,أخبار التكنلوجيا,Website,موقع الكتروني,Text news,أخبار,https://www.cait.gov.kw/Home/news.aspx,Very Low,5,not active,medium ,yes,,,
522,central agency for information technology,الجهاز المركزي لتكنلوجيا المعلومات,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,technology,أخبار التكنلوجيا,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/CAIT_KW,Medium ,3,active,medium ,yes,,,
523,central agency for information technology,الجهاز المركزي لتكنلوجيا المعلومات,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,technology,أخبار التكنلوجيا,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/caitkw/videos,Low ,5,active,high ,yes,,,
524,General Secretariat of Supreme Council for Planning and Development (GSSCPD),الأمانة العامة للمجلس الأعلى للتخطيط والتنمية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار,https://www.scpd.gov.kw/Default5_news.aspx,Low ,5,active,high ,yes,,,
525,General Secretariat of Supreme Council for Planning and Development (GSSCPD),الأمانة العامة للمجلس الأعلى للتخطيط والتنمية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/scpd_kw,Very High,5,active,high ,yes,,,
526,General Secretariat of Supreme Council for Planning and Development (GSSCPD),الأمانة العامة للمجلس الأعلى للتخطيط والتنمية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,economic news,أخبار إقتصادية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCetkufDIUfooiKmBGJnG2SQ/videos,Very Low,1,active,high ,yes,,,
527, Kuwait Central Statistical Bureau,الإدارة المركزية للإحصاء,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,culture news,مجتمع وأنشطة,Website,موقع الكتروني,Text news,أخبار,https://www.csb.gov.kw/Pages/News_Events,Low ,3,active,medium ,yes,,,
528, Kuwait Central Statistical Bureau,الإدارة المركزية للإحصاء,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,culture news,مجتمع وأنشطة,Twitter,تويتر,Text news,أخبار,https://twitter.com/CSBkw,Very High,5,active,high ,yes,,,
529,Commission - State of Kuwait,ديوان الخدمة المدنية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://portal.csc.gov.kw/webcenter/portal/oracle/webcenter/page/scopedMD/s66f0b62a_f66c_4164_bd71_3b4d3535de3c/Page4616f822_16d4_4f23_be61_5ecd3ca3c282.jspx,Low ,2,active,low,yes,,,
530,Commission - State of Kuwait,ديوان الخدمة المدنية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/Csc_Kw,Very High,5,active,high ,yes,,,
531,Public authority of manpower,الهيئة العامة للقوى العاملة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.manpower.gov.kw/News.aspx,Low ,3,active,medium ,yes,,,
532,Public authority of manpower,الهيئة العامة للقوى العاملة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,culture news,مجتمع وأنشطة,Website,موقع الكتروني,Text news,أخبار,https://www.manpower.gov.kw/Events.aspx,Very Low,3,active,medium ,yes,,,
533,Public authority of manpower,الهيئة العامة للقوى العاملة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/manpowerkwt,Very High,5,active,high ,yes,,,
534,Public authority of manpower,الهيئة العامة للقوى العاملة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCkaFo2ZaVGqYDvTzSe9l4eA/videos,Very High,5,active,high ,yes,,,
535,Ministry of Foreign Affairs  ,وزارة الخارجية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.mofa.gov.kw/ar/media-center/news/,Low ,3,active,medium ,yes,,,
536,Ministry of Foreign Affairs  ,وزارة الخارجية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Twitter,تويتر,Text news,أخبار,https://twitter.com/MOFAKuwait,Very High,5,active,high ,yes,,,
537,Ministry of Foreign Affairs  ,وزارة الخارجية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCuiAn_AZHIXkpXKCAZvT0Ng/videos,High,5,active,high ,yes,,,
538,Ministry of Finance,وزارة المالية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار,https://www.mof.gov.kw/TheMOFNews/NewsArchive.aspx,Very High,2,active,low,yes,,,
539,Ministry of Finance,وزارة المالية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,economic news,أخبار إقتصادية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/mofkw,Very High,5,active,high ,yes,,,
540,Ministry of Finance,وزارة المالية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,economic news,أخبار إقتصادية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/MOFKW/videos,Very Low,3,active,medium ,yes,,,
541,Department of Expropriation for Public Welfare,إدارة نزع الملكية للمنفعة العامة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,local news,أخبار محلية,Twitter,تويتر,Text news,أخبار,https://twitter.com/exdkw?lang=ar,Low ,5,active,high ,yes,,,
542,General Administration of Customs,  الإدارة العامة للجمارك,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار,https://www.customs.gov.kw/News/AllNews,High,5,active,high ,yes,,,
543,General Administration of Customs,  الإدارة العامة للجمارك,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/customsgovkw?lang=ar,Medium ,5,active,high ,yes,,,
544,General Administration of Customs,  الإدارة العامة للجمارك,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCwQVeJA_l75gLnsMmMPZQ-g/videos,Low ,5,active,high ,yes,,,
545,ministry of commerce and industry,وزارة التجارة والصناعة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار,https://www.moci.gov.kw/ar/media/news/,High,5,active,high ,yes,,,
546,ministry of commerce and industry,وزارة التجارة والصناعة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,legal and security news,أخبار قانونية وأمنية,Twitter,تويتر,Mixed media and Text,أخبار,https://twitter.com/mociq8,Very High,5,active,high ,yes,,,
547,ministry of commerce and industry,وزارة التجارة والصناعة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,legal and security news,أخبار قانونية وأمنية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCzm_1mFKL9JKRyL-NVNA7Pw/videos,Very Low,5,active,high ,yes,,,
548,Kuwait Authority for Partnership Projects,هـيـئـة مـشـروعات الـشـراكـة بـيـن الـقطاعـين الـعـام والـخـاص,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Attached Authorities, الهيئات الملحقة,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار,http://www.kapp.gov.kw/news-media,Low ,3,active,high ,yes,,,
549,Kuwait Authority for Partnership Projects,هـيـئـة مـشـروعات الـشـراكـة بـيـن الـقطاعـين الـعـام والـخـاص,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Attached Authorities, الهيئات الملحقة,economic news,أخبار إقتصادية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/KAPPKWT,Low ,5,active,high ,yes,,,
550,Kuwait Authority for Partnership Projects,هـيـئـة مـشـروعات الـشـراكـة بـيـن الـقطاعـين الـعـام والـخـاص,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Attached Authorities, الهيئات الملحقة,economic news,أخبار إقتصادية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCwnLC66tkbNbkGZjJ0JEBPQ/videos,Very Low,1,active,high ,yes,,,
551,Ministry of Justice,وزارة العدل,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,legal and security news,أخبار قانونية وأمنية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/kuwaitmoj,Very High,3,active,high ,yes,,,
552,Ministry of Justice,وزارة العدل,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,legal and security news,أخبار قانونية وأمنية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCIZPkddDeniSlH91tdRxJ3w/videos,Medium ,5,active,high ,yes,,,
553,Ministry of Justice, وزارة العدل,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار,https://pp.moj.gov.kw/ar/news/Pages/default.aspx?sectionid=28,Low ,5,active,high ,yes,,,
554,Ministry of Interior,وزارة الداخلية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Youtube,يوتيوب,Mixed media and Text,متنوع ,https://www.youtube.com/c/SecurityMediaQ8/videos,High,5,active,high ,yes,,,
555,Ministry of Interior,وزارة الداخلية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/moi_kuw,Very High,5,active,high ,yes,,,
556,ministry of defence,وزارة الدفاع,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار,https://www.mod.gov.kw/webcenter/portal/MOD#,Medium ,3,active,high ,yes,,,
557,kuwait army , الجيش الكويتي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Twitter,تويتر,Text news,أخبار,https://twitter.com/kuwaitarmyghq,Very High,5,active,high ,yes,,,
558,kuwait army ,الجيش الكويتي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Youtube,يوتيوب,Text news,أخبار ميديا,https://www.youtube.com/c/KuwaitArmyGHQ/videos,Low ,5,active,high ,yes,,,
559,national guards ,الحرس الوطني,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Twitter,تويتر,Text news,أخبار,https://twitter.com/kng_kw,Very High,5,active,high ,yes,,,
560,national guards ,الحرس الوطني,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,legal and security news,أخبار قانونية وأمنية,Youtube,يوتيوب,Text news,أخبار ميديا,https://www.youtube.com/user/kngtawgeeh/videos,Medium ,5,active,high ,yes,,,
561,ministry of education ,وزارة التربية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,education,أخبار التربية والتعليم,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/moekuwait,Very High,5,active,high ,yes,,,
562,Ministry of Higher Education,وزارة التعليم العالي,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,education,أخبار التربية والتعليم,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/mohe_kw,Very High,5,active,high ,yes,,,
563, Ministry of Health,وزارة الصحة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,health news,أخبار الصحة,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/Kuwait_moh,Very High,5,active,high ,yes,,,
564, Ministry of Health,وزارة الصحة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,health news,أخبار الصحة,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/c/q8media/videos,Low ,5,active,high ,yes,,,
565,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,local news ,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://news.gov.kw/News/Mahaliyaat,Very High,5,active,high ,yes,,,
566,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,local news ,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://news.gov.kw/News/MilafaatKhasa,Very High,5,active,high ,yes,,,
567,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار,https://news.gov.kw/News/Malwaaemal,High,5,active,high ,yes,,,
568,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,sport news,أخبار رياضية,Website,موقع الكتروني,Text news,أخبار,https://news.gov.kw/News/Riada,Medium ,5,active,high ,yes,,,
569,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,local news ,أخبار محلية,Website,موقع الكتروني,Media news,أخبار ميديا,https://news.gov.kw/Videos/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC,Low ,5,active,high ,yes,,,
570,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/MOInformation,Very High,5,active,high ,yes,,,
571,Ministry of Information,وزارة الاعلام,"
Official news",أخبار جهات رسمية ,Official News Agencies,وكالات وصحف وقنوات رسمية,Ministries,الوزارات,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/user/KWTTV1/videos,High,5,active,high ,yes,,,
572,Ministry of Awqaf and Islamic Affairs,وزارة الأوقاف والشؤون الإسلامية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,islamic news ,أخبار إسلامية وشرعية,Website,موقع الكتروني,Text news,أخبار,https://www.awqaf.gov.kw/ar/%D8%AD%D8%B5%D8%A7%D8%AF%20%D8%A7%D9%84%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1,Low ,3,active,high ,yes,,,
573,Ministry of Awqaf and Islamic Affairs,وزارة الأوقاف والشؤون الإسلامية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,islamic news ,أخبار إسلامية وشرعية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/kwt_awqaf,High,5,active,high ,yes,,,
574,Ministry of Awqaf and Islamic Affairs,وزارة الأوقاف والشؤون الإسلامية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,islamic news ,أخبار إسلامية وشرعية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/c/kwtawqaf1/videos,Low ,4,active,high ,yes,,,
575,Official account of Awqaf Foundation,الأمانة العامة للأوقاف,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,government departments,الإدارات الحكومية,islamic news ,أخبار إسلامية وشرعية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/Q8APF,High,5,active,high ,yes,,,
576,Ministry of Oil,وزارة النفط الكويتية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,economic news,أخبار إقتصادية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/moo_kw,High,5,active,high ,yes,,,
577,Ministry of Oil,وزارة النفط الكويتية,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,economic news,أخبار إقتصادية,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCoZd3ChU0k6lspBAWuZOi-g/videos,Low ,5,active,high ,yes,,,
578,Ministry Of Electricity and Water and Renewable Energy,وزارة الكهرباءوالماء والطاقة المتجددة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار,https://www.mew.gov.kw/ar/media-center/news/,Very Low,5,active,high ,yes,,,
579,Ministry Of Electricity and Water and Renewable Energy,وزارة الكهرباءوالماء والطاقة المتجددة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/mew_kwt,Medium ,5,active,high ,yes,,,
580,Ministry Of Electricity and Water and Renewable Energy,وزارة الكهرباءوالماء والطاقة المتجددة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/channel/UCWIn7dm5duGdUSbRsWEWGiw/videos,Very Low,5,active,high ,yes,,,
581,Ministry of Communications,وزارة المواصلات,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/mockuwait,Low ,4,active,high ,yes,,,
582,Ministry of Public Works,وزارة الأشغال العامة,"
Official news",أخبار جهات رسمية ,Official News,أخبار الجهات الرسمية,Ministries,الوزارات,local news,أخبار محلية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/mpw_kw,Medium ,5,active,high ,yes,,,
